scei;nom;etat;total_oral;total_points;moyenne_generale;rang_classe
92219;BOUTIN;7;108;467;7,78;3162
110000;GUERIN;7;175;392,75;6,55;3169
52765;BRUNEL;7;181;405;6,75;3168
67778;NORMAND;7;181,5;433,75;7,23;3164
110803;CHEVALLIER;7;185,5;428;7,13;3165
80275;GUICHARD;7;192,5;567;9,45;3006
56062;COUSIN;7;201;420,75;7,01;3166
5215;FRANCOIS;7;201,5;420;7;3167
20142;PAUL;7;208;595,5;9,93;2863
8130;MARIE;7;211;588,5;9,81;2893
67746;GUILLAUME;7;213;449,25;7,49;3160
29665;PICHON;7;213;617,75;10,3;2698
33698;LAROCHE;7;213;662,25;11,04;2229
93125;BENARD;7;215,5;452;7,53;3159
17811;REGNIER;7;217;567,5;9,46;3004
76617;GUIBERT;7;217,5;578,5;9,64;2955
10844;BRETON;7;218;441,25;7,35;3163
97640;MALLET;7;218;588,5;9,81;2894
49069;MARTEL;7;219;571,75;9,53;2991
75536;BRUNEL;7;221,5;634,5;10,58;2537
108528;LEVY;7;222;576;9,6;2968
23848;LEMOINE;7;224;518,5;8,64;3126
1395;ANTOINE;7;224;589;9,82;2890
106003;GRONDIN;7;224,5;447,25;7,45;3161
115201;REGNIER;7;225;643,25;10,72;2429
55800;MENARD;7;226;597,25;9,95;2848
25791;WEISS;7;227;632,5;10,54;2559
1673;ROBERT;7;228;537,75;8,96;3093
89816;GONZALEZ;7;228,5;465,75;7,76;3154
118044;LEFEVRE;7;229;511,25;8,52;3134
11961;DUPRE;7;229;541,75;9,03;3083
67301;GUILLON;7;229;595;9,92;2865
46629;DUBOIS;7;230;464,5;7,74;3156
99039;CHARRIER;7;230;592;9,87;2881
89336;MARECHAL;7;230;642;10,7;2446
41944;GRONDIN;7;231,5;509,5;8,49;3137
7127;BOYER;7;231,5;592,25;9,87;2879
116323;GALLET;7;232,5;503,75;8,4;3143
116926;MERCIER;7;233,5;452,5;7,54;3158
70648;MARQUES;7;234;467;7,78;3153
105083;CHEVALLIER;7;234;602;10,03;2821
45877;RENAULT;7;234;620,25;10,34;2683
64389;ROCHER;7;236;480,5;8,01;3144
89571;MARION;7;236;587,5;9,79;2901
93343;BERTRAND;7;236;623,5;10,39;2648
86399;GREGOIRE;7;236;638,5;10,64;2490
46888;PARENT;7;236,5;475,25;7,92;3147
107629;JACQUES;7;236,5;633;10,55;2554
96321;LOISEAU;7;237;462;7,7;3157
97843;GRONDIN;7;237;500,75;8,35;3117
3914;PICARD;7;237;537,75;8,96;3092
82862;PIERRE;7;237;560;9,33;3034
43080;MAILLOT;7;237;648;10,8;2366
4469;FRANCOIS;7;237,5;596,25;9,94;2858
36908;MORENO;7;239;595;9,92;2866
64749;DE OLIVEIRA;7;239;606,75;10,11;2778
51267;LECOQ;7;240;544,5;9,08;3077
92129;PETIT;7;240;555,5;9,26;3054
65787;BAZIN;7;241;470,5;7,84;3151
58107;FLEURY;7;241;527;8,78;3114
3461;DIALLO;7;241,5;482,25;8,04;3141
115969;LEVEQUE;7;241,5;627;10,45;2616
11232;POTTIER;7;242;490;8,17;3132
64369;DUVAL;7;242;610,5;10,18;2756
63321;GAUTHIER;7;242;631,25;10,52;2575
