scei;nom;etat;total_oral;total_points;moyenne_generale;rang_classe
13571;LAGARDE;7;130,5;491,25;8,19;2576
17257;MUNOZ;7;160,5;439,5;7,33;2583
91599;ARNAUD;7;172;521,5;8,69;2560
21807;MAILLOT;7;181;529;8,82;2551
59908;FOUCHER;7;182;430;7,17;2584
94284;GILLES;7;182;534,5;8,91;2542
64715;HUMBERT;7;193;611,5;10,19;2267
76057;ROBIN;7;198;564,5;9,41;2477
34648;TANGUY;7;200;564;9,4;2480
66048;LE GALL;7;200,5;589,25;9,82;2384
56102;BECKER;7;202;549,5;9,16;2515
107636;PELLETIER;7;203;560;9,33;2492
73496;COLLET;7;205;571,25;9,52;2459
94933;BRUNEAU;7;207;591,25;9,85;2374
41395;POULAIN;7;209;550;9,17;2513
65941;VALETTE;7;209;589;9,82;2385
33762;LEROUX;7;213;560,25;9,34;2490
14290;FONTAINE;7;214;600,25;10;2338
25430;SAUVAGE;7;215;477;7,95;2581
100989;LAINE;7;218,5;631;10,52;2157
118722;MAILLARD;7;219;584;9,73;2404
43117;FOUCHER;7;222,5;493,25;8,22;2575
112029;COURTOIS;7;223;598,25;9,97;2350
111753;CARRE;7;224;589,5;9,83;2382
70496;RAYNAUD;7;224;598,25;9,97;2349
19254;BESNARD;7;224;601,75;10,03;2326
74938;GAUTHIER;7;224;655;10,92;1964
94030;LECLERCQ;7;225;643,25;10,72;2077
37829;DELAUNAY;7;226;604,75;10,08;2309
33248;BUISSON;7;227;597,75;9,96;2352
101670;LE GOFF;7;229;599,75;10;2339
90288;MARTIN;7;229,5;642,75;10,71;2084
54953;VINCENT;7;232;519,5;8,66;2561
50330;ROYER;7;232;593,75;9,9;2364
72010;CHARPENTIER;7;232,5;471,75;7,86;2582
117612;LECLERC;7;232,5;637;10,62;2125
110100;CLEMENT;7;235,5;496,75;8,28;2572
61206;MORIN;7;236,5;481,25;8,02;2579
44888;DUBOIS;7;236,5;501,75;8,36;2570
115543;BERTRAND;7;237;532,25;8,87;2546
50047;PERON;7;237;610,25;10,17;2274
78348;GUIBERT;7;237;634,75;10,58;2135
83076;MACE;7;237,5;487;8,12;2577
7747;ROUX;7;238;486;8,1;2578
45558;DAVID;7;238;634,25;10,57;2138
36684;BARBE;7;239;478,5;7,98;2580
106564;POTIER;7;239;594;9,9;2363
250;MEYER;7;239,5;588,75;9,81;2387
63890;GILBERT;7;240;576,25;9,6;2443
79798;NAVARRO;7;240;653,5;10,89;1979
12319;LEFEBVRE;7;241;520;8,67;2559
40976;VOISIN;7;242;596,25;9,94;2358
763;COLLIN;7;243;565,5;9,43;2473
8743;TOUSSAINT;7;243;606,25;10,1;2302
107895;NGUYEN;7;243,5;517,5;8,63;2562
51339;HENRY;7;244;604,5;10,08;2310
7982;VOISIN;7;244,5;646,5;10,78;2047
26765;DUPONT;7;245;646,5;10,78;2048
2068;BRUNEAU;7;246;517;8,62;2564
795;HERVE;7;247;601,25;10,02;2330
15385;PICARD;7;247,5;494,25;8,24;2574
104057;PASQUIER;7;248;599,5;9,99;2342
63364;COSTE;7;248,5;529;8,82;2550
76570;MACE;7;249;628,5;10,48;2172
58858;PELTIER;7;250;560,5;9,34;2488
24092;NOEL;7;250,5;623,25;10,39;2201
36214;MACE;7;251,5;496,25;8,27;2573
119006;LEROY;7;251,5;516,5;8,61;2565
72383;MAHE;7;251,5;614,5;10,24;2251
77024;BENOIT;7;252;599,5;9,99;2343
103659;GRONDIN;7;253;532,25;8,87;2544
66105;ROBIN;7;253;609,5;10,16;2278
8488;LABBE;7;253;623,5;10,39;2198
80457;COLLIN;7;253,5;656;10,93;1957
46522;THIBAULT;7;254;530;8,83;2547
99863;ROLLAND;7;254;565,25;9,42;2474
16938;DELATTRE;7;255;545,25;9,09;2520
18779;LECLERCQ;7;255;627,75;10,46;2176
45903;MOREL;7;255;627,5;10,46;2178
84320;BLIN;7;255,5;649,75;10,83;2015
14930;MARTINEAU;7;256;517,5;8,63;2563
86446;LENOIR;7;256;605;10,08;2308
100913;BONNET;7;256;613,25;10,22;2260
74750;PETIT;7;256;646,5;10,78;2046
105220;BRUNET;7;256,5;532,5;8,88;2543
18790;DUBOIS;7;256,5;607,5;10,13;2296
8566;FLEURY;7;257;561;9,35;2486
80658;MENDES;7;257;577;9,62;2439
17602;MUNOZ;7;257;642;10,7;2089
34183;FERRAND;7;257,5;499,25;8,32;2571
67442;BOUCHER;7;257,5;529,5;8,83;2549
37284;GIMENEZ;7;257,5;545,25;9,09;2517
57785;FONTAINE;7;258;616,75;10,28;2233
32259;REYNAUD;7;258;634,25;10,57;2139
95557;RIOU;7;259;578;9,63;2433
70815;ROYER;7;259;616,5;10,28;2235
86241;POTTIER;7;259;639,5;10,66;2110
99809;RIOU;7;260;636,25;10,6;2131
1709;MARTINEAU;7;260;641,5;10,69;2093
1972;LELIEVRE;7;260,5;634;10,57;2142
87228;PASQUIER;7;261;655;10,92;1965
56219;DUPONT;7;261,5;509,75;8,5;2569
5356;MARCHAL;7;261,5;522;8,7;2557
64395;HERNANDEZ;7;262;614,5;10,24;2250
17658;MICHEL;7;262;685,5;11,43;1644
10118;CORDIER;7;262,5;630,5;10,51;2160
114443;LEFEVRE;7;263;535,75;8,93;2536
114932;HAMON;7;263;607,25;10,12;2297
78814;RIBEIRO;7;263,5;637;10,62;2123
66485;LECONTE;7;264;529,75;8,83;2548
105025;TECHER;7;264;571,25;9,52;2458
33402;GILLES;7;264;671,75;11,2;1802
16795;ALLARD;7;265;590,5;9,84;2380
95713;GIMENEZ;7;265;605;10,08;2307
90110;BRIAND;7;265;623,25;10,39;2200
110538;VERDIER;7;265;625,25;10,42;2188
102787;GREGOIRE;7;265;625;10,42;2191
23797;AUBRY;7;265;637;10,62;2124
33573;GILLET;7;265;648;10,8;2033
6468;RIVIERE;7;265;662,25;11,04;1895
103716;DUPUY;7;265;692,75;11,55;1560
15729;POIRIER;7;265,5;549,25;9,15;2511
37634;GOSSELIN;7;265,5;654;10,9;1973
65385;DAVID;7;265,5;693;11,55;1555
64590;DOS SANTOS;7;266;623,5;10,39;2199
83241;DESCHAMPS;7;266;631,5;10,53;2155
41076;GERARD;7;266;643,75;10,73;2068
114166;GERMAIN;7;266,5;636,5;10,61;2128
5960;GARNIER;7;267;538,25;8,97;2530
114708;TANGUY;7;267;567;9,45;2471
10414;LEGRAND;7;267;649;10,82;2020
59614;LEVEQUE;7;267;656,5;10,94;1954
94399;ROCHE;7;267,5;516;8,6;2566
